geneID	chromosome	start	stop
YBL077W	2	80895	81326
ATG8	2	80728	80375
NUP170	2	75256	79764
PET112	2	74692	73067
YBL081W	2	71863	72969
RHK1	2	71124	69748
YBL083C	2	70135	69710
CDC27	2	69442	67166
BOI1	2	63873	66815
YBL086C	2	62599	61199
RPL23A	2	60735	59818
TEL1	2	59379	51016
AVT5	2	49571	50950
MRP21	2	48822	49355
MAP2	2	48625	47360
YBL091C-A	2	47177	46562
RPL32	2	45975	46367
ROX3	2	44915	44253
YBL094C	2	44094	43762
YBL095W	2	43274	44086
YBL096C	2	43479	43171
BRN1	2	40828	43092
BNA4	2	39142	40524
ATP1	2	37050	38687
YBL100C	2	37300	36986
ECM21	2	28299	24946
YBL101W-A	2	29932	31248
YBL101W-B	2	29932	35245
YBL101W-C	2	28427	28546
SFT2	2	24098	24745
RTG3	2	23535	22075
YBL104C	2	21293	18177
PKC1	2	17696	14241
SRO77	2	13879	10847
YBL107C	2	10551	9961
YBL107W-A	2	9268	9372
YBL108C-A	2	7733	7605
YBL108W	2	8177	8482
YBL109W	2	5790	6125
YBL111C	2	5009	2907
YBL112C	2	2899	2582
YBL113C	2	2658	280
YBL113W-A	2	646	1128
YBLCdelta7	2	196981	197285
YBLCsigma1	2	197679	198019
YBLWTy1-1	2	221002	226917
YBLWTy2-1	2	29641	35599
YBLWdelta1	2	8848	9092
YBLWdelta10	2	226586	226917
YBLWdelta2	2	9093	9424
YBLWdelta3	2	9425	9518
YBLWdelta4	2	29641	29972
YBLWdelta5	2	35268	35599
YBLWdelta6	2	35601	35793
YBLWdelta8	2	220860	221001
YBLWdelta9	2	221002	221335
YBLWtau1	2	35848	36218
NTH2	2	241247	238905
RER2	2	242532	241672
COQ1	2	242773	244194
YBR004C	2	245631	244330
YBR005W	2	245870	246511
UGA2	2	246974	248467
YBR007C	2	250979	248769
FLR1	2	254172	252526
HHF1	2	255644	255333
HHT1	2	256291	256701
IPP1	2	257935	257072
YBR012C	2	259526	259107
YBR012W-A	2	259829	261151
YBR012W-B	2	259829	265100
YBR013C	2	265841	265452
YBR014C	2	267298	266687
MNN2	2	269465	267672
YBR016W	2	270209	270595
KAP104	2	273665	270909
GAL7	2	275489	274389
GAL10	2	278314	276215
GAL1	2	278983	280569
FUR4	2	281405	283306
YBR022W	2	283700	284233
CHS3	2	287887	284390
SCO2	2	289407	290312
YBR025C	2	291827	290643
ETR1	2	293981	292839
YBR027C	2	294318	293986
YBR028C	2	295964	294387
CDS1	2	297704	296331
YBR030W	2	298254	299912
RPL4A	2	300128	301216
YBR032W	2	301481	301783
YBR033W	2	301906	304665
HMT1	2	305938	304892
PDX3	2	306917	306231
CSG2	2	310275	309043
SCO1	2	311413	310526
CHS2	2	311859	314750
ATP3	2	315537	316472
FIG1	2	316930	317826
FAT1	2	318228	320237
YBR042C	2	321571	320378
YBR043C	2	323907	321838
TCM62	2	326020	324299
GIP1	2	330052	328331
ZTA1	2	331471	330467
YBR047W	2	331793	332320
RPS11B	2	332791	333772
REB1	2	336778	334346
REG2	2	338159	337143
YBR051W	2	337948	338298
YBR052C	2	339312	338680
YBR053C	2	340711	339635
YRO2	2	343061	344095
PRP6	2	347261	344562
YBR056W	2	347839	349344
YBR056W-A	2	351215	351415
MUM2	2	353253	352153
UBP14	2	355977	353632
TSC3	2	356526	356284
AKL1	2	360147	356821
ORC2	2	362474	360612
TRM7	2	365679	364747
YBR062C	2	366283	365936
YBR063C	2	368145	366931
YBR064W	2	367724	368152
ECM2	2	369639	368545
NRG2	2	370660	369998
TIP1	2	372695	372063
BAP2	2	375650	373821
TAT1	2	378393	376534
YBR070C	2	379894	379181
YBR071W	2	380371	381006
YBR072C-A	2	382979	382818
HSP26	2	381990	382634
RDH54	2	383172	385946
YBR074W	2	386244	389174
YBR076C-A	2	391574	391308
ECM8	2	390332	391351
YBR077C	2	392250	391762
ECM33	2	393081	394817
RPG1	2	398234	395340
SEC18	2	400847	398571
SPT7	2	405208	401210
UBC4	2	407126	406585
TEC1	2	409126	410586
RPL19A	2	415218	414143
MIS1	2	411011	413938
YBR085C-A	2	419121	418864
AAC3	2	415940	416863
IST2	2	422998	420158
RFC5	2	423722	424786
POL30	2	425723	424947
NHP6B	2	426446	426147
YBR089W	2	425140	425739
YBR090C	2	427015	426290
MRS5	2	427441	427112
PHO3	2	429058	427655
PHO5	2	430908	429505
YBR094W	2	431993	434254
YBR095C	2	435655	434363
YBR096W	2	435978	436670
VPS15	2	436908	441272
MMS4	2	441472	443547
YBR099C	2	443264	442881
FES1	2	444650	443778
EXO84	2	447280	445019
YBR103C-A	2	449420	449277
SIF2	2	447666	449273
YMC2	2	449624	450613
VID24	2	451926	450838
PHO88	2	452615	453181
IML3	2	454487	453750
YBR108W	2	454779	457325
CMD1	2	458318	457875
YBR109W-A	2	458564	458788
ALG1	2	458828	460177
YSA1	2	461829	461134
SUS1	2	462095	462535
CYC8	2	465726	462826
YBR113W	2	465522	466004
RAD16	2	467204	469576
LYS2	2	473882	469704
YBR116C	2	474682	474155
TKL2	2	476393	474348
TEF2	2	477627	479003
MUD1	2	479294	480279
CBP6	2	480879	480391
GRS1	2	483323	481320
YBR121C-A	2	482440	482282
MRPL36	2	484459	483926
TFC1	2	486647	484698
YBR124W	2	486463	486822
PTC4	2	488336	487155
TPS1	2	490348	488861
YBR126W-A	2	490806	491012
YBR126W-B	2	490883	491026
VMA2	2	492778	491225
ATG14	2	494071	493037
OPY1	2	495295	494309
SHE3	2	496825	495548
YBR131C-A	2	497695	497606
CCZ1	2	497119	499233
AGP2	2	501398	499608
HSL7	2	504243	501760
YBR134W	2	504199	504600
CKS1	2	504810	505262
MEC1	2	505624	512730
YBR137W	2	513000	513539
YBR138C	2	515292	513718
YBR139W	2	515620	517146
IRA1	2	526584	517306
YBR141C	2	527994	526981
YBR141W-A	2	527123	527218
MAK5	2	528273	530594
SUP45	2	532138	530825
YBR144C	2	533505	533191
ADH5	2	533718	534773
MRPS9	2	535216	536052
YBR147W	2	536531	537421
YSW1	2	537832	539661
ARA1	2	539943	540977
TBS1	2	544449	541165
APD1	2	544984	545934
SPP381	2	546332	547207
RIB7	2	547416	548150
RPB5	2	548965	548318
CNS1	2	549727	550884
SLI15	2	553156	551060
ICS2	2	554266	553499
AMN1	2	556505	558154
YBR159W	2	558641	559684
CDC28	2	560034	560930
CSH1	2	561591	562721
YBR162C	2	564527	563160
YSY6	2	565188	565385
DEM1	2	565680	567437
ARL1	2	568383	567832
UBS1	2	568809	569642
TYR1	2	571157	569799
POP7	2	571847	571425
PEX32	2	572328	573569
SSE2	2	575953	573872
NPL4	2	578043	576301
SEC66	2	578321	578941
SMY2	2	581329	579107
UMP1	2	582129	581683
YBR174C	2	582609	582295
SWD3	2	582365	583312
ECM31	2	583677	584615
EHT1	2	586119	584764
YBR178W	2	586028	586402
FZO1	2	589071	586504
DTR1	2	589698	591416
RPS6B	2	592731	591669
SMP1	2	594821	593463
YBR182C-A	2	595512	595318
YPC1	2	596072	597022
YBR184W	2	597320	598891
MBA1	2	599916	599080
PCH2	2	600510	602317
YBR187W	2	602591	603433
NTC20	2	604064	603642
RPS9B	2	604465	605465
YBR190W	2	605923	606234
RPL21A	2	606227	607097
YBR191W-A	2	607106	607180
RIM2	2	607609	608742
MED8	2	609710	609039
YBR194W	2	609995	610366
MSI1	2	611839	610571
PGI1	2	613857	612193
YBR196C-A	2	614130	613981
YBR196C-B	2	614587	614483
YBR197C	2	615813	615160
TAF5	2	618480	616084
KTR4	2	618866	620260
BEM1	2	620829	622484
YBR200W-A	2	622940	623104
DER1	2	623534	624169
CDC47	2	625729	628266
COS111	2	629125	631899
YBR204C	2	633338	632211
KTR3	2	633579	634793
YBR206W	2	634558	634881
FTH1	2	635103	636500
DUR1,2	2	642167	636660
YBR209W	2	642540	642857
ERV15	2	645507	645935
AME1	2	647089	646115
NGR1	2	647843	649861
MET8	2	650325	651149
SDS24	2	651372	652955
HPC2	2	653403	655274
YBP1	2	657557	655533
ATG12	2	657789	658349
PYC2	2	662206	658664
YBR219C	2	663260	662456
YBR220C	2	664634	662952
PDB1	2	666210	665110
YBR221W-A	2	666495	666599
PCS60	2	668308	666677
TDP1	2	670254	668620
YBR223W-A	2	668678	668797
YBR224W	2	670082	670597
YBR225W	2	670584	673286
YBR226C	2	673522	673112
MCX1	2	675091	673529
SLX1	2	675270	676184
ROT2	2	679178	676314
YBR230C	2	680007	679506
YBR231C	2	683047	682136
YBR232C	2	683689	683330
PBP2	2	683385	684626
DAD3	2	684934	685218
ARC40	2	686549	685395
YBR235W	2	686858	690220
ABD1	2	691650	690340
PRP5	2	691926	694475
YBR238C	2	697259	695064
YBR239C	2	699900	698311
THI2	2	701799	700447
YBR241C	2	704012	702546
YBR242W	2	704627	705343
ALG7	2	706750	705404
GPX2	2	707485	707973
ISW1	2	711496	708107
YBR246W	2	711548	712711
ENP1	2	714412	712961
HIS7	2	716422	714764
ARO4	2	717951	716839
YBR250W	2	718990	720561
MRPS5	2	721347	722270
DUT1	2	722568	723011
SRB6	2	723227	723592
TRS20	2	724220	723693
YBR255C-A	2	727031	726575
YBR255W	2	724413	726497
RIB5	2	728059	727343
POP4	2	728842	729681
SHG1	2	730119	729691
YBR259W	2	730344	732410
RGD1	2	734596	732596
YBR261C	2	735487	734789
YBR262C	2	735997	735677
SHM1	2	736221	737693
YPT10	2	738326	737727
TSC10	2	738539	739501
YBR266C	2	740345	739893
YBR267W	2	739798	740979
MRPL37	2	741256	741573
YBR269C	2	742533	742117
YBR270C	2	744355	742718
YBR271W	2	744809	746068
HSM3	2	747760	746318
YBR273C	2	749328	748018
CHK1	2	749551	751134
RIF1	2	757063	751313
PPS1	2	760001	757578
YBR277C	2	760574	760173
DPB3	2	760252	760857
PAF1	2	761215	762552
YBR280C	2	764655	762742
YBR281C	2	767564	764928
MRPL27	2	768198	768638
SSH1	2	770373	768901
YBR284W	2	771197	773590
YBR285W	2	773880	774314
APE3	2	774580	776271
YBR287W	2	776529	777812
APM3	2	779421	777970
SNF5	2	779625	782342
BSD2	2	782549	783514
CTP1	2	784530	783631
YBR292C	2	785031	784660
YBR293W	2	786963	788387
SUL1	2	789192	791771
PCA1	2	792805	796455
PHO89	2	798478	796754
YBR296C-A	2	800198	800079
MAL33	2	800479	801885
MAL31	2	804431	802587
YBR298C-A	2	805212	804991
MAL32	2	805307	807061
YBR300C	2	809053	808556
DAN3	2	809013	809375
COS2	2	811435	810296
YBRCdelta11	2	258630	258936
YBRCdelta14	2	266140	266218
YBRCdelta18	2	643816	643959
YBRCdelta19	2	644319	644560
YBRWTy1-2	2	259538	265454
YBRWdelta12	2	259538	259869
YBRWdelta13	2	265123	265454
YBRWdelta15	2	327030	327355
YBRWdelta16	2	327351	327665
YBRWdelta17	2	350419	350711
YBRWtau2	2	643445	643815
RER1	3	111913	112479
YCL001W-A	3	113077	113538
YCL001W-B	3	113767	114021
YCL002C	3	111673	110842
PGS1	3	109104	110669
YCL005W	3	108020	108790
VMA9	3	107022	107416
YCL007C	3	107365	106973
STP22	3	106852	105695
ILV6	3	105547	104618
SGF29	3	104349	103570
GBP2	3	103357	102074
YCL012C	3	101787	101316
BUD3	3	96280	101190
DCC1	3	95762	94620
NFS1	3	94269	92776
LEU2	3	91323	92417
YCL019W	3	85101	90414
YCL020W	3	85101	86417
YCL021W-A	3	83619	83996
YCL022C	3	82084	81569
YCL023C	3	79295	78948
KCC4	3	79161	82274
AGP1	3	77918	76131
FRM2	3	75285	74704
YCL026C-B	3	73986	73405
FUS1	3	71803	73341
RNQ1	3	70150	71367
BIK1	3	69921	68599
HIS4	3	68333	65934
RRP7	3	65568	64675
STE50	3	63441	64481
YCL033C	3	63282	62776
LSB5	3	61658	62722
GRX1	3	61173	60841
YCL036W	3	59026	60726
SRO9	3	58678	57374
ATG22	3	56527	54941
GID7	3	52645	54882
GLK1	3	50838	52340
YCL041C	3	50627	50133
YCL042W	3	50584	50943
PDI1	3	50221	48653
YCL044C	3	48364	47111
YCL045C	3	46905	44623
YCL046W	3	46640	46963
YCL047C	3	44437	43661
YCL048W	3	42165	43556
YCL049C	3	40724	39786
APA1	3	38801	37836
LRE1	3	35865	37616
PBN1	3	35393	34143
SPB1	3	31449	33974
KAR4	3	27929	28936
YCL056C	3	27359	26925
YCL057C-A	3	24325	24032
PRD1	3	24768	26906
FYV5	3	23981	23523
YCL058W-A	3	23527	23925
KRR1	3	23379	22429
MRC1	3	22106	18816
VAC17	3	17290	18561
CHA1	3	16880	15798
YCL065W	3	13751	14119
HMLALPHA1	3	13282	13809
HMLALPHA2	3	13018	12386
YCL068C	3	12285	11503
YCL069W	3	9706	11082
YCL073C	3	8326	6479
YCL074W	3	2824	3750
YCL075W	3	2126	2566
YCL076W	3	1392	2135
YCLCdelta1	3	83054	83193
YCLWTy2-1	3	84810	90768
YCLWTy5-1	3	1179	4322
YCLWdelta2a	3	84068	84293
YCLWdelta2b	3	84629	84717
YCLWdelta3	3	84294	84625
YCLWdelta4	3	84810	85141
YCLWdelta5	3	90437	90768
YCLWomega1	3	1179	1429
YCLWomega2	3	4073	4322
YCR001W	3	115682	115996
CDC10	3	118345	117377
MRPL32	3	118617	119168
YCP4	3	120315	119572
CIT2	3	122325	120943
YCR006C	3	123000	122527
YCR007C	3	126727	126008
SAT4	3	128467	130278
RVS161	3	131539	130742
ADY2	3	133121	132270
ADP1	3	136870	133721
PGK1	3	137743	138993
YCR013C	3	139046	138399
POL4	3	140930	139182
YCR015C	3	142167	141214
YCR016W	3	143631	144503
CWH43	3	147631	144770
SRD1	3	148900	148235
YCR018C-A	3	151859	151605
MAK32	3	152834	153925
PET18	3	154656	154009
MAK31	3	155093	154827
HTL1	3	155317	155553
HSP30	3	157102	156104
YCR022C	3	157760	157416
YCR023C	3	160368	158533
YCR024C	3	162217	160739
PMP1	3	163062	162940
YCR024C-B	3	162860	162594
YCR025C	3	163851	163441
YCR026C	3	166334	164106
RHB1	3	167994	167365
FEN2	3	172419	170881
RIM1	3	173435	172945
SYP1	3	176433	173821
RPS14A	3	178215	177495
BPH1	3	179515	186018
SNT1	3	186484	190164
FEN1	3	190587	191630
RRP43	3	193013	191829
RBK1	3	193292	194293
PHO87	3	197180	194409
BUD5	3	199544	197616
YCR038W-A	3	199288	199413
MATALPHA2	3	200173	199541
MATALPHA1	3	200437	200964
YCR041W	3	200906	201238
TAF2	3	205392	201169
YCR043C	3	206639	206256
PER1	3	207945	206872
YCR045C	3	209605	208130
YCR045W-A	3	208746	209096
IMG1	3	210418	209909
BUD23	3	211540	210713
YCR047W-A	3	211296	211502
ARE1	3	211924	213756
YCR049C	3	212312	211866
YCR050C	3	213767	213459
YCR051W	3	214066	214734
RSC6	3	214989	216440
THR4	3	216692	218236
CTR86	3	220062	218371
PWP2	3	223223	220452
YIH1	3	224225	223449
YCR060W	3	224394	224729
YCR061W	3	225558	227453
BUD31	3	228313	228786
YCR064C	3	228500	228090
HCM1	3	229305	230999
RAD18	3	231495	232958
SED4	3	236317	233120
ATG15	3	237209	238771
CPR4	3	239050	240006
IMG2	3	240538	240098
YCR072C	3	242347	240800
SSK22	3	246579	242584
SOL2	3	246959	247906
ERS1	3	248811	248029
YCR075W-A	3	248971	249198
YCR076C	3	250041	249289
PAT1	3	252624	250234
YCR079W	3	252841	254169
YCR081C-A	3	258647	258411
SRB8	3	254367	258650
YCR082W	3	258879	259265
TRX3	3	259574	259957
TUP1	3	262448	260307
YCR085W	3	262912	263265
CSM1	3	263388	263960
YCR087C-A	3	264463	264002
YCR087W	3	263972	264487
ABP1	3	265064	266842
FIG2	3	267430	272259
YCR090C	3	272859	272311
KIN82	3	274400	276562
MSH3	3	279903	276760
CDC39	3	280113	286439
CDC50	3	286758	287933
YCR095C	3	289254	288166
HMRA2	3	293534	293175
HMRA1	3	293831	294317
YCR097W-A	3	294435	294701
GIT1	3	298601	297045
YCR099C	3	301295	300828
YCR100C	3	302217	301267
YCR101C	3	303026	302478
YCR102C	3	305463	304357
YCR102W-A	3	306731	306928
PAU3	3	307797	308171
ADH7	3	309066	310151
RDS1	3	310954	313452
AAD3	3	313886	314977
YCR108C	3	316184	315993
YCRCdelta14	3	295954	296186
YCRCdelta6	3	124131	124462
YCRCdelta7	3	142755	143077
YCRCtau1	3	150692	151052
YCRWdelta10	3	151518	151848
YCRWdelta11	3	169568	169883
YCRWdelta12	3	291369	291708
YCRWdelta13	3	294999	295326
YCRWdelta8	3	149479	149806
YCRWdelta9	3	150217	150548
YCRWomega3	3	291918	292163
RMD1	4	447981	449273
NHP10	4	447575	446964
MCD1	4	444680	446380
ATP16	4	443026	443508
MED2	4	442306	441011
PTC1	4	439906	440751
RPT2	4	438044	439357
APC11	4	433494	433991
YDL009C	4	433245	432922
YDL010W	4	432327	433022
YDL011C	4	432628	432305
YDL012C	4	431514	431105
HEX3	4	429064	430923
NOP1	4	427361	428344
TSC13	4	426931	425999
YDL016C	4	425869	425567
CDC7	4	424206	425729
ERP3	4	423507	422830
OSH2	4	421511	417660
RPN4	4	416705	415110
GPM2	4	413950	414885
YDL022C-A	4	410053	409805
GPD1	4	411822	412997
YDL023C	4	412078	411758
DIA3	4	409854	408448
YDL025C	4	407203	405341
YDL025W-A	4	405407	405511
YDL026W	4	404746	405057
YDL027C	4	404954	403692
MPS1	4	403288	400994
ARP2	4	399337	400635
PRP9	4	397534	399126
DBP10	4	394214	397201
YDL032W	4	393687	393998
YDL033C	4	393909	392656
YDL034W	4	391780	392124
GPR1	4	392054	389169
YDL036C	4	388898	387510
BSC1	4	385584	384598
YDL038C	4	384078	382327
PRM7	4	382330	381983
NAT1	4	381435	378871
YDL041W	4	378099	378452
SIR2	4	378442	376754
PRP11	4	376477	375677
MTF2	4	375286	373964
FAD1	4	373605	372685
MRP10	4	372245	372532
YDL046W	4	371237	371758
SIT4	4	369769	370704
STP4	4	368211	366739
KNH1	4	365874	365068
YDL050C	4	364817	364446
LHP1	4	363952	364779
SLC1	4	363583	362672
YDL053C	4	362256	361699
MCH1	4	361285	359825
PSA1	4	356759	355674
MBP1	4	352877	355378
YDL057W	4	351434	352420
USO1	4	345665	351037
RAD59	4	344953	344237
TSR1	4	341619	343985
RPS29B	4	340798	340628
YDL062W	4	339857	340282
YDL063C	4	340134	338272
UBC9	4	337487	338070
PEX19	4	337301	336249
IDP1	4	334835	336121
COX9	4	334396	334217
YDL068W	4	333500	333829
CBS1	4	333810	333121
BDF2	4	331025	332941
YDL071C	4	331041	330667
YDL072C	4	330447	329836
YDL073W	4	326613	329567
BRE1	4	326149	324047
RPL31A	4	322226	322988
RXT3	4	321552	320668
VAM6	4	320120	316971
MDH3	4	316388	315357
MRK1	4	314748	312951
THI3	4	312471	310642
RPP1A	4	310122	309802
RPL13A	4	308424	309388
RPS16B	4	307789	306926
SUB2	4	305237	306577
YDL085C-A	4	302670	302464
NDE2	4	303211	304848
YDL086C-A	4	302089	301655
YDL086W	4	301413	302234
LUC7	4	300999	300214
ASM4	4	300003	298417
YDL089W	4	296820	298274
RAM1	4	296329	295034
YDL091C	4	294759	293392
SRP14	4	292781	293221
PMT5	4	289909	292140
YDL094C	4	290081	289572
PMT1	4	287059	289512
YDL096C	4	287324	286998
RPN6	4	286695	285391
SNU23	4	285165	284581
YDL099W	4	283419	284444
ARR4	4	283176	282112
DUN1	4	281848	280307
CDC2	4	276872	280165
QRI1	4	276581	275148
QRI7	4	274876	273653
QRI2	4	272389	273597
PHO2	4	271901	270222
MSS2	4	268921	269976
KIN28	4	267698	268699
YDL109C	4	267201	265258
YDL110C	4	264964	264512
RRP42	4	264110	263313
TRM3	4	258915	263225
ATG20	4	258555	256633
YDL114W	4	255604	256530
YDL114W-A	4	254935	255048
IWR1	4	254717	253995
NUP84	4	251566	253746
CYK3	4	248581	251238
YDL118W	4	247302	247682
YDL119C	4	247612	246689
YFH1	4	245923	246447
YDL121C	4	245582	245133
UBP1	4	242552	244981
SNA4	4	241418	241840
YDL124W	4	240259	241197
HNT1	4	239606	239019
CDC48	4	238664	236157
PCL2	4	234927	235853
VCX1	4	232652	233887
YDL129W	4	231024	231899
RPP1B	4	229906	230527
STF1	4	229171	229431
LYS21	4	227393	228715
CDC53	4	224304	226751
RPL41B	4	221801	221724
YDL133W	4	222427	223740
PPH21	4	220771	219662
RDI1	4	219288	218680
RPL35B	4	217600	218367
ARF2	4	216529	217074
RGT2	4	213352	215643
YDL139C	4	212047	211376
RPO21	4	210562	205361
BPL1	4	203040	205112
CRD1	4	202571	201720
CCT4	4	199997	201583
YDL144C	4	199733	198663
COP1	4	198177	194572
YDL146W	4	192751	194226
RPN5	4	190925	192262
NOP14	4	190587	188155
ATG9	4	184926	187919
RPC53	4	183344	184612
BUD30	4	183900	183319
YDL152W	4	182823	183188
SAS10	4	183019	181187
MSH5	4	178335	181040
CLB3	4	176774	178057
YDL156W	4	174919	176487
YDL157C	4	174589	174233
YDL158C	4	174175	173867
YDL159C-B	4	173233	173057
STE7	4	172482	174029
YDL159W-A	4	172183	172314
DHH1	4	171931	170411
YDL160C-A	4	169609	169367
ENT1	4	167715	169079
YDL162C	4	167716	167360
YDL163W	4	166957	167259
